title,original_title,score,genre,year,duration,description,actors,public,country,language
Planet Earth II,(2016),9.4,,,,,,,,
Breaking Bad,(2008),9.4,,,,,,,,
Planet Earth,(2006),9.4,,,,,,,,
Band of Brothers,(2001),9.4,,,,,,,,
Chernobyl,(2019),9.3,,,,,,,,
The Wire,(2002),9.3,,,,,,,,
Avatar: The Last Airbender,(2005),9.2,,,,,,,,
Blue Planet II,(2017),9.2,,,,,,,,
The Sopranos,(1999),9.2,,,,,,,,
Cosmos: A Spacetime Odyssey,(2014),9.2,,,,,,,,
Cosmos,(1980),9.2,,,,,,,,
Our Planet,(2019),9.2,,,,,,,,
Game of Thrones,(2011),9.1,,,,,,,,
The World at War,(1973),9.1,,,,,,,,
Rick and Morty,(2013),9.1,,,,,,,,
Fullmetal Alchemist: Brotherhood,(2009),9.0,,,,,,,,
The Last Dance,(2020),9.0,,,,,,,,
Life,(2009),9.0,,,,,,,,
The Twilight Zone,(1959),9.0,,,,,,,,
Sherlock,(2010),9.0,,,,,,,,
Bluey,(2018),9.0,,,,,,,,
The Vietnam War,(2017),9.0,,,,,,,,
Batman: The Animated Series,(1992),9.0,,,,,,,,
Scam 1992: The Harshad Mehta Story,(2020),8.9,,,,,,,,
Attack on Titan,(2013),8.9,,,,,,,,
Arcane,(2021),8.9,,,,,,,,
The Blue Planet,(2001),8.9,,,,,,,,
The Office,(2005),8.9,,,,,,,,
Human Planet,(2011),8.9,,,,,,,,
Firefly,(2002),8.9,,,,,,,,
Frozen Planet,(2011),8.9,,,,,,,,
Better Call Saul,(2015),8.9,,,,,,,,
Death Note,(2006),8.9,,,,,,,,
Clarkson's Farm,(2021),8.9,,,,,,,,
Only Fools and Horses,(1981),8.9,,,,,,,,
The Civil War,(1990),8.9,,,,,,,,
Hunter x Hunter,(2011),8.9,,,,,,,,
True Detective,(2014),8.9,,,,,,,,
Seinfeld,(1989),8.9,,,,,,,,
Dekalog,(1989),8.9,,,,,,,,
Persona,(2018),8.9,,,,,,,,
The Beatles: Get Back,(2021),8.9,,,,,,,,
Fargo,(2014),8.9,,,,,,,,
Cowboy Bebop,(1998),8.8,,,,,,,,
Nathan for You,(2013),8.8,,,,,,,,
Gravity Falls,(2012),8.8,,,,,,,,
When They See Us,(2019),8.8,,,,,,,,
Last Week Tonight with John Oliver,(2014),8.8,,,,,,,,
Friends,(1994),8.8,,,,,,,,
Apocalypse: The Second World War,(2009),8.8,,,,,,,,
Africa,(2013),8.8,,,,,,,,
TVF Pitchers,(2015),8.8,,,,,,,,
It's Always Sunny in Philadelphia,(2005),8.8,,,,,,,,
Monty Python's Flying Circus,(1969),8.8,,,,,,,,
Taskmaster,(2015),8.8,,,,,,,,
The Last of Us,(2023),8.8,,,,,,,,
Das Boot,(1985),8.8,,,,,,,,
As If,(2021),8.8,,,,,,,,
The West Wing,(1999),8.8,,,,,,,,
Curb Your Enthusiasm,(2000),8.8,,,,,,,,
Leyla and Mecnun,(2011),8.8,,,,,,,,
Fawlty Towers,(1975),8.8,,,,,,,,
Succession,(2018),8.8,,,,,,,,
Pride and Prejudice,(1995),8.7,,,,,,,,
Freaks and Geeks,(1999),8.7,,,,,,,,
Blackadder Goes Forth,(1989),8.7,,,,,,,,
Twin Peaks,(1990),8.7,,,,,,,,
BoJack Horseman,(2014),8.7,,,,,,,,
Black Mirror,(2011),8.7,,,,,,,,
Narcos,(2015),8.7,,,,,,,,
Dragon Ball Z,(1989),8.7,,,,,,,,
Chappelle's Show,(2003),8.7,,,,,,,,
One Piece,(1999),8.7,,,,,,,,
Dragon Ball Z,(1989),8.7,,,,,,,,
"I, Claudius",(1976),8.7,,,,,,,,
South Park,(1997),8.7,,,,,,,,
Over the Garden Wall,(2014),8.7,,,,,,,,
Rome,(2005),8.7,,,,,,,,
Six Feet Under,(2001),8.7,,,,,,,,
Kota Factory,(2019),8.7,,,,,,,,
Peaky Blinders,(2013),8.7,,,,,,,,
Ted Lasso,(2020),8.7,,,,,,,,
Oz,(1997),8.7,,,,,,,,
Dark,(2017),8.7,,,,,,,,
Steins;Gate,(2011),8.7,,,,,,,,
The Boys,(2019),8.7,,,,,,,,
Arrested Development,(2003),8.7,,,,,,,,
Fleabag,(2016),8.7,,,,,,,,
Gullak,(2019),8.7,,,,,,,,
The Simpsons,(1989),8.7,,,,,,,,
The Mandalorian,(2019),8.7,,,,,,,,
One Punch Man,(2015),8.7,,,,,,,,
The Shield,(2002),8.6,,,,,,,,
Battlestar Galactica,(2004),8.6,,,,,,,,
House,(2004),8.6,,,,,,,,
Panchayat,(2020),8.6,,,,,,,,
Downton Abbey,(2010),8.6,,,,,,,,
Vinland Saga,(2019),8.6,,,,,,,,
Severance,(2022),8.6,,,,,,,,
Invincible,(2021),8.6,,,,,,,,
Stranger Things,(2016),8.6,,,,,,,,
Mad Men,(2007),8.6,,,,,,,,
Peep Show,(2003),8.6,,,,,,,,
Sarabhai V/S Sarabhai,(2004),8.6,,,,,,,,
Star Trek: The Next Generation,(1987),8.6,,,,,,,,
The Adventures of Sherlock Holmes,(1984),8.6,,,,,,,,
The Marvelous Mrs. Maisel,(2017),8.6,,,,,,,,
Berserk,(1997),8.6,,,,,,,,
Friday Night Lights,(2006),8.6,,,,,,,,
The Grand Tour,(2016),8.6,,,,,,,,
House of Cards,(2013),8.6,,,,,,,,
Top Gear,(2002),8.6,,,,,,,,
Justice League Unlimited,(2004),8.6,,,,,,,,
1883,(2021),8.6,,,,,,,,
The Thick of It,(2005),8.6,,,,,,,,
Line of Duty,(2012),8.6,,,,,,,,
The Crown,(2016),8.6,,,,,,,,
Mahabharat,(1988),8.6,,,,,,,,
Aspirants,(2021),8.6,,,,,,,,
Behzat Ç.: Bir Ankara Polisiyesi,(2010),8.6,,,,,,,,
Father Ted,(1995),8.6,,,,,,,,
Deadwood,(2004),8.6,,,,,,,,
Parks and Recreation,(2009),8.6,,,,,,,,
This Is Us,(2016),8.6,,,,,,,,
The X-Files,(1993),8.6,,,,,,,,
Dexter,(2006),8.6,,,,,,,,
Atlanta,(2016),8.6,,,,,,,,
Naruto: Shippuden,(2007),8.6,,,,,,,,
The Jinx: The Life and Deaths of Robert Durst,(2015),8.6,,,,,,,,
Bleach: Thousand-Year Blood War,(2022),8.6,,,,,,,,
Primal,(2019),8.6,,,,,,,,
Code Geass,(2006),8.6,,,,,,,,
Critical Role,(2015),8.6,,,,,,,,
Blackadder II,(1986),8.6,,,,,,,,
The Bridge,(2011),8.6,,,,,,,,
Daredevil,(2015),8.6,,,,,,,,
Monster,(2004),8.6,,,,,,,,
It's a Sin,(2021),8.6,,,,,,,,
Ramayan,(1987),8.6,,,,,,,,
Lonesome Dove,(1989),8.6,,,,,,,,
Adventure Time,(2010),8.6,,,,,,,,
Demon Slayer: Kimetsu no Yaiba,(2019),8.6,,,,,,,,
Archer,(2009),8.6,,,,,,,,
Yeh Meri Family,(2018),8.6,,,,,,,,
Mindhunter,(2017),8.6,,,,,,,,
Mystery Science Theater 3000,(1988),8.5,,,,,,,,
The Return of Sherlock Holmes,(1986),8.5,,,,,,,,
Gomorrah,(2014),8.5,,,,,,,,
Yellowstone,(2018),8.5,,,,,,,,
Blackadder the Third,(1987),8.5,,,,,,,,
Young Justice,(2010),8.5,,,,,,,,
The Offer,(2022),8.5,,,,,,,,
Haikyu!!,(2014),8.5,,,,,,,,
Heartstopper,(2022),8.5,,,,,,,,
Anne with an E,(2017),8.5,,,,,,,,
Mr. Bean,(1990),8.5,,,,,,,,
Dopesick,(2021),8.5,,,,,,,,
Poirot,(1989),8.5,,,,,,,,
QI,(2003),8.5,,,,,,,,
